neighbourhood,count
Bang Bon,4
Bang Kapi,178
Bang Khae,45
Bang Khen,60
Bang Kho laen,97
Bang Khun thain,10
Bang Na,348
Bang Phlat,136
Bang Rak,416
Bang Sue,175
Bangkok Noi,44
Bangkok Yai,34
Bueng Kum,35
Chatu Chak,346
Chom Thong,52
Din Daeng,298
Don Mueang,43
Dusit,29
Huai Khwang,1044
Khan Na Yao,29
Khlong Sam Wa,23
Khlong San,249
Khlong Toei,1659
Lak Si,55
Lat Krabang,118
Lat Phrao,28
Min Buri,33
Nong Chok,13
Nong Khaem,7
Parthum Wan,333
Phasi Charoen,108
Phaya Thai,247
Phra Khanong,423
Phra Nakhon,88
Pom Prap Sattru Phai,41
Pra Wet,91
Rat Burana,30
Ratchathewi,819
Sai Mai,22
Samphanthawong,46
Saphan Sung,18
Sathon,535
Suanluang,253
Taling Chan,18
Thawi Watthana,11
Thon buri,143
Thung khru,14
Vadhana,1550
Wang Thong Lang,87
Yan na wa,138
