neighbourhood,room_type,count
Bang Bon,Private room,3
Bang Kapi,Private room,144
Bang Khae,Private room,58
Bang Khen,Private room,82
Bang Kho laen,Private room,52
Bang Khun thain,Private room,15
Bang Na,Private room,212
Bang Phlat,Private room,108
Bang Rak,Private room,497
Bang Sue,Private room,107
Bangkok Noi,Private room,113
Bangkok Yai,Private room,57
Bueng Kum,Private room,29
Chatu Chak,Private room,268
Chom Thong,Private room,39
Din Daeng,Private room,227
Don Mueang,Private room,139
Dusit,Private room,80
Huai Khwang,Private room,391
Khan Na Yao,Private room,40
Khlong Sam Wa,Private room,20
Khlong San,Private room,194
Khlong Toei,Private room,535
Lak Si,Private room,83
Lat Krabang,Private room,118
Lat Phrao,Private room,46
Min Buri,Private room,35
Nong Chok,Private room,6
Nong Khaem,Private room,11
Parthum Wan,Private room,161
Phasi Charoen,Private room,69
Phaya Thai,Private room,213
Phra Khanong,Private room,249
Phra Nakhon,Private room,455
Pom Prap Sattru Phai,Private room,77
Pra Wet,Private room,88
Rat Burana,Private room,25
Ratchathewi,Private room,374
Sai Mai,Private room,30
Samphanthawong,Private room,63
Saphan Sung,Private room,31
Sathon,Private room,266
Suanluang,Private room,190
Taling Chan,Private room,26
Thawi Watthana,Private room,7
Thon buri,Private room,109
Thung khru,Private room,17
Vadhana,Private room,681
Wang Thong Lang,Private room,74
Yan na wa,Private room,79
